8:30am - 4:30pm,Stallions Challengers vs Master Blasters at Maple Park
8:30am - 4:30pm,Stallions Thunders vs Stallions Lightning at Delview Cricket Ground
8:30am - 4:30pm,West Vancouver vs Champions at Hugo Ray 1
8:30am - 11:30am,Abbotsford II vs Abbotsford I at CFV Exhibition
8:30am - 11:30am,Richmond CC II vs Richmond CC I at Minoru
8:30am - 11:30am,Surrey Warriors I vs Chilliwack Thunders at Delta
10:30am - 6:30pm,Richmond V vs Cosmos VIII at Westerman School
10:30am - 6:30pm,West Coast Tamils IV vs Ahmadiyya II at Sperling #2 - South Ground
12:00pm - 8:00pm,Abbotsford II vs Surrey Warriors I at CFV Exhibition
12:00pm - 8:00pm,Abbotsford IV vs Newton Surrey IV at Bakerview Elementary
12:00pm - 8:00pm,Cosmos I vs Newton Surrey I at Upper Brockton
12:00pm - 8:00pm,Cosmos II vs Packcan II at Crescent South
12:00pm - 8:00pm,Delta Patriots III vs Delta Raptors III at Delview Cricket Ground
12:00pm - 8:00pm,Ind-Can vs Meraloma at West Newton Ground
12:00pm - 8:00pm,Kelowna Kamloop I vs Langley I at Kelowna
12:00pm - 8:00pm,Kelowna Kamloop II vs North Vancouver II at Kamloops
12:00pm - 8:00pm,Langley II vs Windies I at Mackin
12:00pm - 8:00pm,Newton VII vs Meraloma IV at Connaught
12:00pm - 8:00pm,Okanagan Royals I vs Abbotsford III at Keogan Sports Park
12:00pm - 8:00pm,Pakcan I vs West Vancouver I at Sullivan Heights
12:00pm - 8:00pm,Richmond IV vs Langley III at Minoru
12:00pm - 8:00pm,Stallion CC I vs Bengal Tigers III at AHP Matthew Elementary
12:00pm - 8:00pm,Surrey Stars I vs Lions I at North Surrey Community Park
12:00pm - 8:00pm,Surrey Stars II vs Meraloma III at Bridgeview Park Cricket Ground
12:00pm - 8:00pm,Surrey Stars III vs Cosmos IV at Langley (Brown park)
12:00pm - 8:00pm,Surrey Stars VI vs Surrey Hawks IV at Chilliwack Rosedale
12:00pm - 8:00pm,Surrey United II vs Ind-Can II at Crescent North
12:00pm - 8:00pm,Surrey United III vs Kings I at Enver Creek
12:00pm - 8:00pm,Surrey United V vs North Vancouver IV at Chilliwack Meadowbrook
12:00pm - 8:00pm,Vancouver Eagles III vs North Vancouver III at Lower Brockton
12:00pm - 8:00pm,Vancouver Eagles IV vs Master Blaster II at Trafalgar Park
12:00pm - 8:00pm,West Coast Tamils III vs Bengal Tigers II at Sperling #1 - North Ground
12:00pm - 8:00pm,West Coast Tamils V vs Burrard CC II at Silverdale Park
12:00pm - 8:00pm,West Vancouver II vs North Vancouver I at Norgate Park
12:00pm - 8:00pm,West Vancouver IV vs Burnaby Windies I at Hugo Ray 1
12:00pm - 8:00pm,West Vancouver V vs Indcan III at Hugo Ray 2
12:00pm - 8:00pm,West Vancouver VII vs Cosmos VI at Cougar Creek
1:00pm - 9:00pm,Stallions Desert vs Chilliwack Thunder at Maple Park
